iter	Passed	Remaining
862	6207	985
863	6214	978
864	6221	970
865	6229	963
866	6236	956
867	6246	949
868	6256	943
869	6265	936
870	6272	929
871	6280	921
872	6287	914
873	6293	907
874	6299	899
875	6307	892
876	6314	885
877	6321	878
878	6327	871
879	6337	864
880	6346	857
881	6354	850
882	6363	843
883	6373	836
884	6383	829
885	6394	822
886	6405	816
887	6420	809
888	6427	802
889	6434	795
890	6443	788
891	6454	781
892	6464	774
893	6471	767
894	6479	760
895	6488	753
896	6497	746
897	6505	738
898	6513	731
899	6524	724
900	6531	717
901	6540	710
902	6548	703
903	6556	696
904	6568	689
905	6575	682
906	6581	674
907	6591	667
908	6599	660
909	6605	653
910	6611	645
911	6618	638
912	6626	631
913	6632	624
914	6639	616
915	6648	609
916	6654	602
917	6662	595
918	6672	588
919	6682	581
920	6688	573
921	6695	566
922	6703	559
923	6712	552
924	6719	544
925	6725	537
926	6733	530
927	6740	522
928	6748	515
929	6754	508
930	6760	501
931	6769	493
932	6777	486
933	6785	479
934	6791	472
935	6801	465
936	6808	457
937	6817	450
938	6826	443
939	6834	436
940	6842	429
941	6851	421
942	6857	414
943	6863	407
944	6871	399
945	6881	392
946	6890	385
947	6899	378
948	6905	371
949	6913	363
950	6921	356
951	6927	349
952	6934	342
953	6945	334
954	6952	327
955	6960	320
956	6968	313
957	6975	305
958	6982	298
959	6989	291
960	6995	283
961	7003	276
962	7011	269
963	7020	262
964	7027	254
965	7036	247
966	7046	240
967	7056	233
968	7065	226
969	7073	218
970	7081	211
971	7092	204
972	7098	196
973	7107	189
974	7116	182
975	7130	175
976	7140	168
977	7146	160
978	7153	153
979	7161	146
980	7168	138
981	7175	131
982	7181	124
983	7190	116
984	7198	109
985	7205	102
986	7212	94
987	7219	87
988	7227	80
989	7233	73
990	7239	65
991	7245	58
992	7252	51
993	7260	43
994	7267	36
995	7274	29
996	7281	21
997	7288	14
998	7294	7
999	7301	0
